CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,Credit_Card_Status,IsActiveMember,Activity_Status,EstimatedSalary,Exited,Churn_Status
751,Germany,Female,36,6,169831.46,2,1,Has Credit Card,1,Active,27758.36,0,Retained
581,Germany,Female,34,1,101633.04,1,1,Has Credit Card,0,Inactive,110431.51,0,Retained
735,Germany,Male,43,10,123180.01,2,1,Has Credit Card,1,Active,196673.28,0,Retained
661,Germany,Female,35,5,150725.53,2,0,No Credit Card,1,Active,113656.85,0,Retained
675,France,Female,21,8,98373.26,1,1,Has Credit Card,0,Inactive,18203.0,0,Retained
738,Germany,Male,58,2,133745.44,4,1,Has Credit Card,0,Inactive,28373.86,1,Churned
813,France,Male,29,6,0.0,1,1,Has Credit Card,0,Inactive,33953.87,0,Retained
657,Spain,Female,37,0,163607.18,1,0,No Credit Card,1,Active,44203.55,0,Retained
604,Germany,Female,25,5,157780.84,2,1,Has Credit Card,1,Active,58426.81,0,Retained
519,France,Male,36,9,0.0,2,0,No Credit Card,1,Active,145562.4,0,Retained
735,France,Female,21,1,178718.19,2,1,Has Credit Card,0,Inactive,22388.0,0,Retained
664,France,Male,55,8,0.0,2,1,Has Credit Card,1,Active,139161.64,0,Retained
678,France,Female,32,9,0.0,1,1,Has Credit Card,1,Active,148210.64,0,Retained
757,Spain,Male,33,5,77253.22,1,0,No Credit Card,1,Active,194239.63,0,Retained
416,Germany,Female,41,10,122189.66,2,1,Has Credit Card,0,Inactive,98301.61,0,Retained
665,France,Female,34,1,96645.54,2,0,No Credit Card,0,Inactive,171413.66,0,Retained
777,France,Female,32,2,0.0,1,1,Has Credit Card,0,Inactive,136458.19,1,Churned
543,France,Female,36,3,0.0,2,0,No Credit Card,0,Inactive,26019.59,0,Retained
506,France,Female,34,4,90307.62,1,1,Has Credit Card,1,Active,159235.29,0,Retained
493,France,Female,46,4,0.0,2,1,Has Credit Card,0,Inactive,1907.66,0,Retained
652,Spain,Female,75,10,0.0,2,1,Has Credit Card,1,Active,114675.75,0,Retained
750,Spain,Male,22,3,121681.82,1,1,Has Credit Card,0,Inactive,128643.35,1,Churned
729,France,Male,30,9,0.0,2,1,Has Credit Card,0,Inactive,151869.35,0,Retained
646,France,Female,46,4,0.0,3,1,Has Credit Card,0,Inactive,93251.42,1,Churned
635,Germany,Female,28,3,81623.67,2,1,Has Credit Card,1,Active,156791.36,0,Retained
647,Spain,Female,44,5,0.0,3,1,Has Credit Card,1,Active,174205.22,1,Churned
808,France,Male,45,7,118626.55,2,1,Has Credit Card,0,Inactive,147132.46,0,Retained
524,France,Female,36,10,0.0,2,1,Has Credit Card,0,Inactive,109614.57,0,Retained
769,France,Male,29,8,0.0,2,1,Has Credit Card,1,Active,172290.61,0,Retained
730,Spain,Male,42,4,0.0,2,0,No Credit Card,1,Active,85982.47,0,Retained
515,Spain,Male,35,10,176273.95,1,0,No Credit Card,1,Active,121277.78,0,Retained
773,Spain,Male,41,9,102827.44,1,0,No Credit Card,1,Active,64595.25,0,Retained
814,Germany,Male,29,8,97086.4,2,1,Has Credit Card,1,Active,197276.13,0,Retained
710,Spain,Male,22,8,0.0,2,0,No Credit Card,0,Inactive,99645.04,0,Retained
413,France,Male,34,9,0.0,2,0,No Credit Card,0,Inactive,6534.18,0,Retained
665,France,Female,40,6,0.0,1,1,Has Credit Card,1,Active,161848.03,0,Retained
623,France,Female,44,6,0.0,2,0,No Credit Card,0,Inactive,167162.43,0,Retained
738,France,Male,31,9,82674.15,1,1,Has Credit Card,0,Inactive,41970.72,0,Retained
528,Spain,Male,36,7,0.0,2,1,Has Credit Card,0,Inactive,60536.56,0,Retained
670,Spain,Female,65,1,0.0,1,1,Has Credit Card,1,Active,177655.68,1,Churned
622,Spain,Female,46,4,107073.27,2,1,Has Credit Card,1,Active,30984.59,1,Churned
582,Germany,Male,32,1,88938.62,1,1,Has Credit Card,1,Active,10054.53,0,Retained
785,Germany,Female,36,2,99806.85,1,0,No Credit Card,1,Active,36976.52,0,Retained
605,Spain,Male,33,5,150092.8,1,0,No Credit Card,0,Inactive,71862.79,0,Retained
479,Germany,Male,35,9,92833.89,1,1,Has Credit Card,0,Inactive,99449.86,1,Churned
685,Germany,Male,30,3,90536.81,1,0,No Credit Card,1,Active,63082.88,0,Retained
538,Germany,Male,39,7,108055.1,2,1,Has Credit Card,0,Inactive,27231.26,0,Retained
562,France,Male,42,2,100238.35,1,0,No Credit Card,0,Inactive,86797.41,0,Retained
675,Spain,Male,36,9,106190.55,1,0,No Credit Card,1,Active,22994.32,0,Retained
721,Germany,Male,28,9,154475.54,2,0,No Credit Card,1,Active,101300.94,1,Churned
628,Germany,Female,30,9,132351.29,2,1,Has Credit Card,1,Active,74169.13,0,Retained
668,Germany,Female,37,6,167864.4,1,1,Has Credit Card,0,Inactive,115638.29,0,Retained
506,France,Female,41,1,0.0,2,1,Has Credit Card,0,Inactive,31766.3,0,Retained
524,Germany,Female,31,8,107818.63,1,1,Has Credit Card,0,Inactive,199725.39,1,Churned
699,Germany,Male,34,4,185173.81,2,1,Has Credit Card,0,Inactive,120834.48,0,Retained
828,France,Male,34,8,129433.34,2,0,No Credit Card,0,Inactive,38131.77,0,Retained
674,Spain,Male,39,6,120193.42,1,0,No Credit Card,0,Inactive,100130.95,0,Retained
656,France,Female,39,6,0.0,2,1,Has Credit Card,0,Inactive,141069.88,0,Retained
684,Germany,Female,48,10,126384.42,1,1,Has Credit Card,1,Active,198129.36,0,Retained
625,France,Female,28,3,0.0,1,0,No Credit Card,0,Inactive,183646.41,0,Retained
432,France,Male,42,9,152603.45,1,1,Has Credit Card,0,Inactive,110265.24,1,Churned
549,France,Female,52,1,0.0,1,0,No Credit Card,1,Active,8636.05,1,Churned
625,Germany,Male,56,0,148507.24,1,1,Has Credit Card,0,Inactive,46824.08,1,Churned
828,France,Female,41,7,0.0,2,1,Has Credit Card,0,Inactive,171378.77,0,Retained
770,France,Male,24,9,101827.07,1,1,Has Credit Card,0,Inactive,167256.35,0,Retained
758,France,Female,34,3,0.0,2,1,Has Credit Card,1,Active,124226.16,0,Retained
795,Germany,Female,33,9,130862.43,1,1,Has Credit Card,1,Active,114935.21,0,Retained
687,France,Male,38,9,122570.87,1,1,Has Credit Card,1,Active,35608.88,0,Retained
686,France,Male,25,1,0.0,2,0,No Credit Card,1,Active,16459.37,0,Retained
789,Germany,Male,39,7,124828.46,2,1,Has Credit Card,1,Active,124411.08,0,Retained
589,Germany,Female,50,5,144895.05,2,1,Has Credit Card,1,Active,34941.23,0,Retained
461,Germany,Female,34,5,63663.93,1,0,No Credit Card,1,Active,167784.28,0,Retained
637,France,Male,40,2,133463.1,1,0,No Credit Card,1,Active,93165.34,0,Retained
584,Spain,Female,48,2,213146.2,1,1,Has Credit Card,0,Inactive,75161.25,1,Churned
579,Spain,Female,35,1,129490.36,2,0,No Credit Card,1,Active,8590.83,1,Churned
756,Germany,Male,44,10,137452.09,1,1,Has Credit Card,0,Inactive,189543.9,0,Retained
663,France,Male,34,7,0.0,2,1,Has Credit Card,1,Active,180427.24,0,Retained
682,France,Female,43,5,125851.93,1,1,Has Credit Card,1,Active,193318.33,0,Retained
793,Spain,Male,52,2,0.0,1,1,Has Credit Card,0,Inactive,159123.82,1,Churned
691,France,Female,31,5,40915.55,1,1,Has Credit Card,0,Inactive,126213.84,1,Churned
485,Spain,Female,21,5,113157.22,1,1,Has Credit Card,1,Active,54141.5,0,Retained
635,Spain,Female,29,8,138296.94,2,1,Has Credit Card,0,Inactive,141075.51,0,Retained
650,France,Male,37,5,106967.18,1,0,No Credit Card,0,Inactive,24495.03,0,Retained
735,France,Male,44,9,120681.63,1,1,Has Credit Card,0,Inactive,74836.34,0,Retained
416,France,Male,32,0,0.0,2,0,No Credit Card,1,Active,878.87,0,Retained
754,Spain,Female,32,7,0.0,2,1,Has Credit Card,0,Inactive,89520.75,0,Retained
535,France,Female,48,9,0.0,1,1,Has Credit Card,0,Inactive,149892.79,1,Churned
716,Spain,Male,42,8,0.0,2,1,Has Credit Card,0,Inactive,180800.42,0,Retained
539,France,Male,37,2,127609.59,1,1,Has Credit Card,0,Inactive,98646.22,0,Retained
614,France,Female,43,6,0.0,2,1,Has Credit Card,1,Active,109041.53,0,Retained
706,Spain,Male,57,7,0.0,1,1,Has Credit Card,0,Inactive,17941.16,1,Churned
758,France,Female,33,7,0.0,2,0,No Credit Card,0,Inactive,82996.47,0,Retained
586,Spain,Female,28,2,0.0,2,1,Has Credit Card,1,Active,92067.35,0,Retained
646,France,Female,73,6,97259.25,1,0,No Credit Card,1,Active,104719.66,0,Retained
631,Germany,Female,33,4,123246.7,1,0,No Credit Card,0,Inactive,112687.57,0,Retained
717,Spain,Female,22,6,101060.25,1,0,No Credit Card,1,Active,84699.56,0,Retained
684,France,Male,30,2,0.0,2,1,Has Credit Card,0,Inactive,83473.82,0,Retained
800,France,Female,49,7,108007.36,1,0,No Credit Card,0,Inactive,47125.11,0,Retained
721,Spain,Female,36,2,0.0,2,1,Has Credit Card,1,Active,106977.8,0,Retained
683,Spain,Male,29,0,133702.89,1,1,Has Credit Card,0,Inactive,55582.54,1,Churned
660,Germany,Male,31,9,125189.75,2,1,Has Credit Card,1,Active,139874.43,0,Retained
704,Germany,Female,24,7,113034.22,1,1,Has Credit Card,0,Inactive,162503.48,1,Churned
615,Spain,Female,41,9,109013.23,1,1,Has Credit Card,0,Inactive,196499.96,0,Retained
667,Spain,Female,39,2,0.0,2,1,Has Credit Card,0,Inactive,40721.24,1,Churned
682,Germany,Male,24,9,57929.81,2,0,No Credit Card,0,Inactive,53134.3,0,Retained
484,France,Female,29,4,130114.39,1,1,Has Credit Card,0,Inactive,164017.89,0,Retained
628,Germany,Male,27,5,95826.49,2,1,Has Credit Card,0,Inactive,155996.96,0,Retained
480,Germany,Male,44,10,129608.57,1,1,Has Credit Card,0,Inactive,5472.7,1,Churned
578,France,Male,30,4,169462.09,1,1,Has Credit Card,0,Inactive,112187.11,0,Retained
512,France,Male,40,5,0.0,2,1,Has Credit Card,1,Active,146457.83,0,Retained
484,Spain,Female,35,7,133868.21,1,1,Has Credit Card,1,Active,27286.1,0,Retained
510,France,Female,30,0,0.0,2,1,Has Credit Card,1,Active,130553.47,0,Retained
606,Germany,Male,36,5,190479.48,2,0,No Credit Card,0,Inactive,179351.89,0,Retained
597,Spain,Female,40,8,101993.12,1,0,No Credit Card,1,Active,94774.12,0,Retained
754,Germany,Female,55,3,161608.81,1,1,Has Credit Card,0,Inactive,8080.85,1,Churned
850,Spain,Female,45,2,122311.21,1,1,Has Credit Card,1,Active,19482.5,0,Retained
510,France,Male,65,2,0.0,2,1,Has Credit Card,1,Active,48071.61,0,Retained
778,Germany,Female,45,1,162150.42,2,1,Has Credit Card,0,Inactive,174531.27,0,Retained
636,France,Male,42,2,0.0,2,1,Has Credit Card,1,Active,55470.78,0,Retained
804,France,Female,50,4,0.0,1,1,Has Credit Card,1,Active,8546.87,1,Churned
514,France,Male,32,8,0.0,2,1,Has Credit Card,0,Inactive,95857.18,0,Retained
730,France,Female,39,1,99010.67,1,1,Has Credit Card,0,Inactive,194945.8,0,Retained
525,Spain,Female,37,0,0.0,1,0,No Credit Card,1,Active,131521.72,0,Retained
616,Spain,Male,30,5,0.0,2,0,No Credit Card,1,Active,196108.51,0,Retained
687,Germany,Female,34,7,111388.18,2,1,Has Credit Card,0,Inactive,148564.76,0,Retained
715,France,Female,41,8,56214.85,2,0,No Credit Card,0,Inactive,92982.61,1,Churned
512,France,Female,36,3,84327.77,2,1,Has Credit Card,0,Inactive,17675.36,0,Retained
479,France,Male,40,1,0.0,2,0,No Credit Card,0,Inactive,114996.43,0,Retained
601,France,Male,32,8,93012.89,1,1,Has Credit Card,0,Inactive,86957.42,0,Retained
580,Spain,Male,29,9,61710.44,2,1,Has Credit Card,0,Inactive,128077.8,0,Retained
807,France,Male,35,3,174790.15,1,1,Has Credit Card,1,Active,600.36,0,Retained
616,Spain,Female,32,6,0.0,2,1,Has Credit Card,1,Active,43001.46,0,Retained
721,Germany,Male,37,3,107720.64,1,1,Has Credit Card,1,Active,158591.12,0,Retained
501,France,Male,57,10,0.0,2,1,Has Credit Card,1,Active,47847.19,0,Retained
521,France,Male,35,6,96423.84,1,1,Has Credit Card,0,Inactive,10488.44,0,Retained
850,Spain,Male,30,2,141040.01,1,1,Has Credit Card,1,Active,5978.2,0,Retained
759,France,Male,42,4,105420.18,1,0,No Credit Card,1,Active,121409.06,0,Retained
516,Spain,Male,50,5,0.0,1,0,No Credit Card,1,Active,146145.93,1,Churned
711,France,Female,38,2,129022.06,2,1,Has Credit Card,1,Active,14374.86,1,Churned
512,Spain,Male,33,3,176666.62,1,1,Has Credit Card,0,Inactive,94670.77,0,Retained
550,France,Male,37,3,0.0,1,1,Has Credit Card,1,Active,179670.31,0,Retained
608,Spain,Female,41,3,89763.84,1,0,No Credit Card,0,Inactive,199304.74,1,Churned
618,France,Male,34,5,134954.53,1,1,Has Credit Card,1,Active,151954.39,0,Retained
643,France,Male,45,5,0.0,1,1,Has Credit Card,0,Inactive,142513.5,1,Churned
671,France,Male,45,2,106376.85,1,0,No Credit Card,1,Active,158264.62,0,Retained
689,Germany,Male,33,2,161814.64,2,1,Has Credit Card,0,Inactive,169381.9,0,Retained
603,France,Male,31,8,0.0,2,1,Has Credit Card,1,Active,169915.02,0,Retained
620,France,Female,41,9,0.0,2,0,No Credit Card,0,Inactive,88852.47,0,Retained
676,France,Female,34,1,63095.01,1,1,Has Credit Card,1,Active,40645.81,0,Retained
572,Germany,Male,26,4,118287.01,2,0,No Credit Card,0,Inactive,60427.3,0,Retained
668,Germany,Male,47,7,106854.21,1,0,No Credit Card,1,Active,157959.02,1,Churned
695,France,Male,46,7,49512.55,1,1,Has Credit Card,0,Inactive,133007.34,0,Retained
730,Spain,Female,33,9,0.0,2,0,No Credit Card,0,Inactive,176576.62,0,Retained
807,France,Male,43,1,105799.32,2,1,Has Credit Card,0,Inactive,34888.04,1,Churned
592,France,Male,54,8,0.0,1,1,Has Credit Card,1,Active,28737.71,1,Churned
726,France,Female,31,9,114722.05,2,1,Has Credit Card,1,Active,98178.57,0,Retained
514,Spain,Male,30,7,0.0,1,0,No Credit Card,1,Active,125010.24,0,Retained
567,France,Male,42,2,0.0,2,1,Has Credit Card,1,Active,167984.61,0,Retained
850,France,Male,33,10,0.0,1,1,Has Credit Card,0,Inactive,4861.72,1,Churned
671,Germany,Male,45,6,99564.22,1,1,Has Credit Card,1,Active,108872.45,1,Churned
670,France,Male,37,4,170557.91,2,1,Has Credit Card,0,Inactive,198252.88,0,Retained
694,France,Female,30,9,0.0,2,1,Has Credit Card,1,Active,26960.31,0,Retained
547,Germany,Female,39,6,74596.15,3,1,Has Credit Card,1,Active,85746.52,1,Churned
751,Germany,Male,50,2,96888.39,1,1,Has Credit Card,0,Inactive,77206.25,1,Churned
594,Germany,Female,29,3,130830.22,1,1,Has Credit Card,0,Inactive,61048.53,0,Retained
673,France,Male,72,1,0.0,2,0,No Credit Card,1,Active,111981.19,0,Retained
610,France,Male,40,0,0.0,2,1,Has Credit Card,0,Inactive,62232.6,0,Retained
512,France,Female,37,1,0.0,2,0,No Credit Card,1,Active,156105.03,0,Retained
767,Germany,Male,20,3,119714.25,2,0,No Credit Card,1,Active,150135.38,0,Retained
585,France,Female,67,5,113978.97,2,0,No Credit Card,1,Active,93146.11,0,Retained
763,Germany,Male,42,6,100160.75,1,1,Has Credit Card,0,Inactive,33462.94,1,Churned
712,France,Female,29,2,0.0,1,1,Has Credit Card,1,Active,144375.0,0,Retained
539,Germany,Female,43,3,116220.5,3,1,Has Credit Card,0,Inactive,55803.96,1,Churned
668,France,Female,46,2,0.0,3,1,Has Credit Card,0,Inactive,89048.46,1,Churned
703,France,Male,28,2,81173.83,2,0,No Credit Card,1,Active,162812.16,0,Retained
662,Spain,Male,38,4,0.0,2,1,Has Credit Card,0,Inactive,136259.65,0,Retained
725,Germany,Female,39,5,116803.8,1,1,Has Credit Card,0,Inactive,124052.97,0,Retained
703,France,Male,37,8,105961.68,2,0,No Credit Card,1,Active,74158.8,0,Retained
659,Germany,Male,67,6,117411.6,1,1,Has Credit Card,1,Active,45071.09,1,Churned
523,Spain,Male,34,7,0.0,2,1,Has Credit Card,0,Inactive,62030.06,0,Retained
635,France,Female,40,10,123497.58,1,1,Has Credit Card,0,Inactive,131953.23,1,Churned
772,Germany,Male,26,7,152400.51,2,1,Has Credit Card,0,Inactive,79414.0,0,Retained
545,France,Female,26,1,0.0,2,1,Has Credit Card,1,Active,199638.56,0,Retained
634,Germany,Male,24,8,103097.85,1,1,Has Credit Card,1,Active,157577.29,0,Retained
739,Germany,Male,54,8,126418.14,1,1,Has Credit Card,0,Inactive,134420.75,1,Churned
771,Germany,Female,36,5,77846.9,1,0,No Credit Card,0,Inactive,99805.99,0,Retained
587,Spain,Female,34,1,0.0,2,1,Has Credit Card,1,Active,97932.68,0,Retained
681,France,Female,79,0,0.0,2,0,No Credit Card,1,Active,170968.99,0,Retained
544,Germany,Male,37,2,79731.91,1,1,Has Credit Card,1,Active,57558.95,0,Retained
696,Spain,Male,28,8,0.0,1,0,No Credit Card,0,Inactive,176713.47,0,Retained
766,Spain,Male,41,0,0.0,2,0,No Credit Card,1,Active,34283.23,0,Retained
727,France,Male,34,10,0.0,2,1,Has Credit Card,1,Active,198637.34,0,Retained
671,Germany,Female,34,6,37266.67,2,0,No Credit Card,0,Inactive,156917.12,0,Retained
693,France,Female,30,6,127992.25,1,1,Has Credit Card,1,Active,50457.2,0,Retained
850,Germany,Male,38,3,54901.01,1,1,Has Credit Card,1,Active,140075.55,0,Retained
732,Germany,Male,42,9,108748.08,2,1,Has Credit Card,1,Active,65323.11,0,Retained
726,Spain,Female,48,6,99906.19,1,1,Has Credit Card,0,Inactive,64323.24,0,Retained
557,France,Female,32,6,184686.41,2,1,Has Credit Card,0,Inactive,14956.44,0,Retained
682,France,Female,26,0,110654.02,1,0,No Credit Card,1,Active,111879.21,0,Retained
738,Spain,Male,31,9,79019.8,1,1,Has Credit Card,1,Active,18606.23,0,Retained
531,Spain,Female,36,9,99240.51,1,1,Has Credit Card,0,Inactive,123137.01,0,Retained
498,France,Male,34,2,0.0,2,1,Has Credit Card,1,Active,148528.24,0,Retained
651,France,Male,36,7,0.0,2,1,Has Credit Card,0,Inactive,13898.31,0,Retained
549,Spain,Female,39,7,0.0,1,0,No Credit Card,0,Inactive,81259.25,1,Churned
791,Germany,Female,35,7,52436.2,1,1,Has Credit Card,0,Inactive,161051.75,0,Retained
650,Spain,Male,41,9,0.0,2,0,No Credit Card,1,Active,191599.67,0,Retained
733,Germany,Male,34,3,100337.96,3,1,Has Credit Card,0,Inactive,48559.19,1,Churned
811,Germany,Female,34,1,149297.19,2,1,Has Credit Card,1,Active,186339.74,0,Retained
707,France,Male,30,8,0.0,2,1,Has Credit Card,0,Inactive,33159.37,0,Retained
712,Germany,Male,28,4,145605.44,1,0,No Credit Card,1,Active,93883.53,0,Retained
706,Spain,Female,37,7,0.0,2,1,Has Credit Card,1,Active,110899.3,0,Retained
756,France,Male,62,3,0.0,1,1,Has Credit Card,1,Active,11199.04,1,Churned
777,France,Female,53,10,0.0,2,1,Has Credit Card,0,Inactive,189992.97,0,Retained
646,France,Male,35,6,84026.86,1,0,No Credit Card,1,Active,164255.69,0,Retained
714,France,Male,46,1,0.0,1,1,Has Credit Card,0,Inactive,152167.79,1,Churned
782,France,Male,39,8,0.0,2,1,Has Credit Card,1,Active,33949.67,0,Retained
775,Spain,Male,29,10,0.0,2,1,Has Credit Card,1,Active,68143.93,0,Retained
479,Germany,Male,35,4,138718.92,1,1,Has Credit Card,1,Active,47251.79,1,Churned
807,France,Male,42,7,118274.71,1,1,Has Credit Card,1,Active,25885.72,0,Retained
799,France,Female,22,8,174185.98,2,0,No Credit Card,1,Active,192633.85,0,Retained
675,France,Male,40,7,113208.86,2,1,Has Credit Card,0,Inactive,34577.36,0,Retained
602,Spain,Male,29,5,103907.28,1,1,Has Credit Card,0,Inactive,161229.84,0,Retained
475,France,Female,32,8,119023.28,1,1,Has Credit Card,0,Inactive,100816.29,0,Retained
744,Spain,Female,26,5,166297.89,1,1,Has Credit Card,1,Active,181694.44,0,Retained
588,Spain,Male,34,10,0.0,2,1,Has Credit Card,0,Inactive,79078.91,0,Retained
703,Germany,Male,42,9,63227.0,1,0,No Credit Card,1,Active,137316.32,0,Retained
747,Spain,Female,41,5,94521.17,2,1,Has Credit Card,0,Inactive,194926.86,0,Retained
583,France,Male,27,7,0.0,2,1,Has Credit Card,0,Inactive,51285.49,0,Retained
750,Spain,Female,34,9,112822.26,1,0,No Credit Card,0,Inactive,150401.53,1,Churned
681,France,Male,38,3,0.0,2,1,Has Credit Card,1,Active,112491.96,0,Retained
773,France,Male,25,2,135903.33,1,1,Has Credit Card,0,Inactive,73656.38,0,Retained
714,France,Female,31,4,125169.26,1,1,Has Credit Card,1,Active,106636.89,0,Retained
687,Spain,Female,44,7,0.0,3,1,Has Credit Card,0,Inactive,155853.52,1,Churned
511,France,Male,58,0,149117.31,1,1,Has Credit Card,1,Active,162599.51,0,Retained
627,France,Male,33,5,0.0,2,1,Has Credit Card,1,Active,103737.82,0,Retained
694,France,Female,31,10,0.0,2,1,Has Credit Card,0,Inactive,160990.27,0,Retained
616,Spain,Female,36,6,132311.71,1,0,No Credit Card,0,Inactive,15462.84,0,Retained
687,France,Male,35,8,0.0,2,1,Has Credit Card,0,Inactive,10334.05,0,Retained
712,France,Female,33,6,0.0,2,1,Has Credit Card,1,Active,190686.16,0,Retained
